,PUBCHEM_SUBSTANCE_ID,PUBCHEM_EXT_DATASOURCE_REGID,smiles,smiles2
0,354335827,D4659,CCn1c(N)c(N)c(=O)n(CC)c1=O.Cl,CCn1c(N)c(N)c(=O)n(CC)c1=O
1,354335826,D4228,CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)([O-])OC2C1OC(=O)CCC.[Na+],CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)([O-])OC2C1OC(=O)CCC
3,354335824,Z0035,O=C(O)C(F)(F)F.[O-2].[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[Zn+3].[Zn+3].[Zn+4].[Zn+4],[O-]C([O-])C(F)(F)F
4,354335823,O0414,CCCCCCCCCCCCCCCCCC[Si](O)(O)OC.CO[Si](O)(O)CCCNC(=O)C1CCC2(C)O[Os](=O)(O)(O)OC2(C)C1.[Fe+2].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2],CCCCCCCCCCCCCCCCCC[Si](O)(O)OC
5,354335822,A2950,CC(=O)c1ccc(F)c(N)c1,CC(=O)c1ccc(F)c(N)c1
6,354335821,B4981,Clc1cc(Br)cc(I)c1,Clc1cc(Br)cc(I)c1
7,354335820,M2934,Cc1cc(CC#N)cc(CC#N)c1,Cc1cc(CC#N)cc(CC#N)c1
8,354335819,H1674,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F
9,354335818,K0060,COc1cc2ncnc(Sc3nnc(C)s3)c2cc1OC,COc1cc2ncnc(Sc3nnc(C)s3)c2cc1OC
10,354335817,B5684,CC(C)(C)OC(=O)NCCCCCC(=O)ON1C(=O)CCC1=O,CC(C)(C)OC(=O)NCCCCCC(=O)ON1C(=O)CCC1=O
11,354335816,F1127,O=S(=O)(Cl)c1ccc(F)c(C(F)(F)F)c1,O=S(=O)(Cl)c1ccc(F)c(C(F)(F)F)c1
12,354335815,I0908,CC1(C)CC(OC(=O)c2ccccc2C(=O)OCCOc2ccc(I)cc2)CC(C)(C)N1[O],CC1(C)CC(OC(=O)c2ccccc2C(=O)OCCOc2ccc(I)cc2)CC(C)(C)N1[O]
13,354335814,G0409,c1ccc(OC[C@H]2CO2)cc1,c1ccc(OC[C@H]2CO2)cc1
14,354335813,P2460,O=S(c1ccccc1)C(F)(F)F,O=S(c1ccccc1)C(F)(F)F
15,354335812,B5725,C[n+]1ccn(Cc2ccccc2)c1.F[B-](F)(F)F,C[n+]1ccn(Cc2ccccc2)c1
16,354335811,B5724,CCCCn1cc[n+](C)c1.F[Sb-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1
17,354335810,T3685,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
18,354335809,B5824,Cc1ccc(Br)c(C=O)c1,Cc1ccc(Br)c(C=O)c1
19,354335808,T3716,c1ccc(-c2ccccc2[Ir](c2ccccc2-c2ccccn2)c2ccccc2-c2ccccn2)nc1,c1ccc(-c2ccccc2[Ir](c2ccccc2-c2ccccn2)c2ccccc2-c2ccccn2)nc1
20,354335807,P2611,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3
21,354335806,P2504,c1ccc(-n2ccc3ccccc32)nc1,c1ccc(-n2ccc3ccccc32)nc1
22,354335805,M3044,CO[C@@H]1C(C(=O)O)O[C@@H](OCC2O[C@@H](O)[C@@H](O)C(O)[C@H]2O)[C@@H](O)C1O,CO[C@@H]1C(C(=O)O)O[C@@H](OCC2O[C@@H](O)[C@@H](O)C(O)[C@H]2O)[C@@H](O)C1O
23,354335804,I0855,OCC1O[C@H](OCC2O[C@H](OCC3O[C@H](OCC4O[C@@H](O)[C@@H](O)C(O)[C@@H]4O)[C@@H](O)C(O)[C@@H]3O)[C@@H](O)C(O)[C@@H]2O)[C@@H](O)C(O)[C@@H]1O,OCC1O[C@H](OCC2O[C@H](OCC3O[C@H](OCC4O[C@@H](O)[C@@H](O)C(O)[C@@H]4O)[C@@H](O)C(O)[C@@H]3O)[C@@H](O)C(O)[C@@H]2O)[C@@H](O)C(O)[C@@H]1O
24,354335803,I0854,OCC1O[C@H](OCC2O[C@H](OCC3O[C@H](OCC4O[C@H](OCC5O[C@@H](O)[C@@H](O)C(O)[C@@H]5O)[C@@H](O)C(O)[C@@H]4O)[C@@H](O)C(O)[C@@H]3O)[C@@H](O)C(O)[C@@H]2O)[C@@H](O)C(O)[C@@H]1O,OCC1O[C@H](OCC2O[C@H](OCC3O[C@H](OCC4O[C@H](OCC5O[C@@H](O)[C@@H](O)C(O)[C@@H]5O)[C@@H](O)C(O)[C@@H]4O)[C@@H](O)C(O)[C@@H]3O)[C@@H](O)C(O)[C@@H]2O)[C@@H](O)C(O)[C@@H]1O
25,354335802,O0514,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)O,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)O
26,354335801,D5477,COc1cc(C(C)=O)c([N+](=O)[O-])cc1OC,COc1cc(C(C)=O)c([N+](=O)[O-])cc1OC
27,354335800,O0517,O=C([O-])c1cc(N=Nc2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+],O=C([O-])c1cc(N=Nc2ccc(O)c(C(=O)[O-])c2)ccc1O
28,354335799,P2623,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
29,354335798,E1344,CCC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(=O)CC)CC[C@@H]12,CCC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(=O)CC)CC[C@@H]12
30,354335797,T3663,Cl.c1ccc(C2CN3CCSC3=N2)cc1,c1ccc(C2CN3CCSC3=N2)cc1
31,354335796,T2187,O=S(=O)([O-])c1cccc(P(c2cccc(S(=O)(=O)[O-])c2)c2cccc(S(=O)(=O)[O-])c2)c1.[Na+].[Na+].[Na+],O=S(=O)([O-])c1cccc(P(c2cccc(S(=O)(=O)[O-])c2)c2cccc(S(=O)(=O)[O-])c2)c1
32,354335795,T3690,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
33,354335794,M3113,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
34,354335793,B5189,N#Cc1ccnc(Br)c1,N#Cc1ccnc(Br)c1
35,354335792,M3121,C=C1C[C@H]2[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,C=C1C[C@H]2[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12
36,354335791,T3732,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
37,354335790,O0510,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
38,354335789,C3505,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
39,354335788,T3650,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2
40,354335787,P2539,OB(O)c1ccccc1Oc1ccccc1,OB(O)c1ccccc1Oc1ccccc1
41,354335786,M3115,COC(=O)c1cc([N+](=O)[O-])ccc1F,COC(=O)c1cc([N+](=O)[O-])ccc1F
42,354335785,M3074,COC(=O)c1cccc(Cl)c1N,COC(=O)c1cccc(Cl)c1N
43,354335784,H1670,C[n+]1ccn(CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCO)c1
44,354335783,H1587,CC(C)CC(N)CC(=O)O,CC(C)CC(N)CC(=O)O
45,354335782,D5166,O=c1[nH]ncc(Br)c1Br,O=c1[nH]ncc(Br)c1Br
46,354335781,C3527,OCCCc1ccc(Cl)cc1,OCCCc1ccc(Cl)cc1
47,354335780,C3526,O=Cc1c(O)cccc1Cl,O=Cc1c(O)cccc1Cl
48,354335779,B5701,OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H]1CCCN1,OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H]1CCCN1
49,354335778,B5644,CNC(=O)c1cccc(Br)c1,CNC(=O)c1cccc(Br)c1
50,354335777,A3204,Nc1cccc(S(=O)(=O)CCO)c1,Nc1cccc(S(=O)(=O)CCO)c1
51,354335776,A3148,Nc1ccc(CO)cn1,Nc1ccc(CO)cn1
52,354335775,M3170,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
53,354335774,I0981,O=C1Nc2c(I)cccc2C1=O,O=C1Nc2c(I)cccc2C1=O
54,354335773,F1139,COc1ccc(F)c(OC)c1,COc1ccc(F)c(OC)c1
55,354335772,C3344,NCc1ccc(Cl)c(F)c1,NCc1ccc(Cl)c(F)c1
56,354335771,C2825,O=C1COc2ccccc21,O=C1COc2ccccc21
57,354335770,B5788,O=[N+]([O-])c1ccc(Br)cc1O,O=[N+]([O-])c1ccc(Br)cc1O
58,354335769,A2977,Nc1cc2cccnc2c2ncccc12,Nc1cc2cccnc2c2ncccc12
59,354335768,F1195,Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1,Cc1nn(C)c(Oc2ccccc2)c1/C=N/OCc1ccc(C(=O)OC(C)(C)C)cc1
60,354335767,T3584,Clc1c(I)c(Cl)c(I)c(Cl)c1I,Clc1c(I)c(Cl)c(I)c(Cl)c1I
61,354335766,T3353,FC(F)(F)C(OP(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(OP(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F
62,354335765,N1071,O=S(=O)(Oc1ccc2ccc(OS(=O)(=O)C(F)(F)F)cc2c1)C(F)(F)F,O=S(=O)(Oc1ccc2ccc(OS(=O)(=O)C(F)(F)F)cc2c1)C(F)(F)F
63,354335764,M3105,Cc1ccc(-c2cc(C)ccn2)cc1,Cc1ccc(-c2cc(C)ccn2)cc1
64,354335763,H1622,O=C(O)c1ccccc1N=Nc1ccc(O)cc1,O=C(O)c1ccccc1N=Nc1ccc(O)cc1
65,354335762,D5099,COc1ncc(Br)cc1Br,COc1ncc(Br)cc1Br
66,354335761,D5093,Cc1c(Br)cc(O)cc1Br,Cc1c(Br)cc(O)cc1Br
67,354335760,C3512,CCCCCc1ccc(C(=O)Oc2cc(F)c(C#N)c(F)c2)cc1,CCCCCc1ccc(C(=O)Oc2cc(F)c(C#N)c(F)c2)cc1
68,354335759,C3223,O=Cc1cc(Cl)ccc1B(O)O,O=Cc1cc(Cl)ccc1B(O)O
69,354335758,B5738,O=c1cc(CO)c2cc(Br)c(O)cc2o1,O=c1cc(CO)c2cc(Br)c(O)cc2o1
70,354335757,B5547,BrCCCCn1c2ccccc2c2ccccc21,BrCCCCn1c2ccccc2c2ccccc21
71,354335756,F1184,O=C(OC(=O)c1c(F)cccc1C(F)(F)F)c1c(F)cccc1C(F)(F)F,O=C(OC(=O)c1c(F)cccc1C(F)(F)F)c1c(F)cccc1C(F)(F)F
72,354335755,C3412,O=C(O)/C=C/c1ccccc1,O=C(O)/C=C/c1ccccc1
73,354335754,M3106,C=CCNc1ncnc2ccc(Br)cc12,C=CCNc1ncnc2ccc(Br)cc12
74,354335753,L0309,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br
75,354335752,D5222,CCCCCCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,CCCCCCN1c2ccc(Br)cc2Sc2cc(Br)ccc21
76,354335751,B5400,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Pd+2].c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12
77,354335750,M3108,COc1cc(-n2c(=S)[nH]c3ccccc3c2=O)c(Cl)cc1Cl,COc1cc(-n2c(=S)[nH]c3ccccc3c2=O)c(Cl)cc1Cl
78,354335749,M3051,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O
79,354335748,D4718,Oc1ccc(Br)c2c1C1(CC2)CCc2c(Br)ccc(O)c21,Oc1ccc(Br)c2c1C1(CC2)CCc2c(Br)ccc(O)c21
80,354335747,D4717,Oc1ccc(Br)c2c1C1(CC2)CCc2c(Br)ccc(O)c21,Oc1ccc(Br)c2c1C1(CC2)CCc2c(Br)ccc(O)c21
81,354335746,B5448,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1
82,354335745,P2540,O=c1oc2cc(O)ccc2cc1-c1ccccc1,O=c1oc2cc(O)ccc2cc1-c1ccccc1
83,354335744,P2519,O=C(/C=C/c1ccccc1)Oc1ccccc1,O=C(/C=C/c1ccccc1)Oc1ccccc1
84,354335743,O0493,CCCCCC#CCO,CCCCCC#CCO
85,354335742,N1108,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O
86,354335741,M3006,Cc1cnc(N)cn1,Cc1cnc(N)cn1
87,354335740,M2875,COc1ccc2ccccc2c1C(C)=O,COc1ccc2ccccc2c1C(C)=O
88,354335739,H1463,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1
89,354335738,W0010,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12
90,354335737,T3454,Cc1ccc(-c2cc(C=O)no2)cc1,Cc1ccc(-c2cc(C=O)no2)cc1
91,354335736,P2455,O=C(O)c1ccc(-c2ccccn2)cc1,O=C(O)c1ccc(-c2ccccn2)cc1
92,354335735,I1069,C[C@@]12CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(CC1=O)C2,C[C@@]12CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(CC1=O)C2
93,354335734,H1653,O=c1nc(-c2ccccc2O)oc2ccccc12,O=c1nc(-c2ccccc2O)oc2ccccc12
94,354335733,H1651,O=Cc1cc(C=O)c(O)c(C=O)c1,O=Cc1cc(C=O)c(O)c(C=O)c1
95,354335732,B5716,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21
96,354335731,A3183,Cc1cc(O)cc(O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)c1,Cc1cc(O)cc(O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)c1
97,354335730,C3493,c1cc2ccc1-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc-2cc1,c1cc2ccc1-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc-2cc1
98,354335729,B5787,[Bi+3].[I-].[I-].[I-],[Bi+3]
99,354335728,B5575,CC(C)(C)Oc1ccccn1,CC(C)(C)Oc1ccccn1
100,354335727,P2456,C=C(C)[B-](F)(F)F.[K+],C=C(C)[B-](F)(F)F
101,354335726,B5594,CCO[Si](CCCN(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1)(OCC)OCC,CCO[Si](CCCN(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1)(OCC)OCC
102,354335725,M3052,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O
103,354335724,B5272,Cc1[nH]c2ccc(Br)cc2c1C,Cc1[nH]c2ccc(Br)cc2c1C
104,354335723,B5292,CC(C)(C)OC(=O)N1CCCC(C(N)=O)C1,CC(C)(C)OC(=O)N1CCCC(C(N)=O)C1
105,354335722,E1223,C#Cc1ccc([N+](=O)[O-])cc1,C#Cc1ccc([N+](=O)[O-])cc1
106,354335721,C3347,O=C(O)Cc1ccc(Cl)c([N+](=O)[O-])c1,O=C(O)Cc1ccc(Cl)c([N+](=O)[O-])c1
107,354335720,T3421,CC(C)(C#N)Cc1cccc(CC(C)(C)C#N)c1,CC(C)(C#N)Cc1cccc(CC(C)(C)C#N)c1
108,354335719,B5683,CC(C)(C)OC(=O)NCCOCCN,CC(C)(C)OC(=O)NCCOCCN
109,354335718,E1270,CCOC(=O)c1ocnc1C,CCOC(=O)c1ocnc1C
110,354335717,A2915,CC(=S)NCCN.O=C(O)C(F)(F)F,CC(=S)NCCN
111,354335716,A2914,O=C(O)C(F)(F)F.[N-]=[N+]=NS(=O)(=O)c1ccc(C(=O)NCCN)cc1,[N-]=[N+]=NS(=O)(=O)c1ccc(C(=O)NCCN)cc1
112,354335715,O0505,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34
113,354335714,C2921,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12
114,354335713,M3049,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN=[N+]=[N-],COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN=[N+]=[N-]
115,354335712,B3173,O=C1N[C@@H]2[C@H](CCCCC(=O)Oc3c(F)c(F)c(F)c(F)c3F)SC[C@@H]2N1,O=C1N[C@@H]2[C@H](CCCCC(=O)Oc3c(F)c(F)c(F)c(F)c3F)SC[C@@H]2N1
116,354335711,D5228,c1csc(Cc2cccs2)c1,c1csc(Cc2cccs2)c1
117,354335710,A3179,Cc1noc(N)c1C,Cc1noc(N)c1C
118,354335709,D5513,CC(C)(C)n1cc[n+](C(C)(C)C)c1.O=C([O-])O,CC(C)(C)n1cc[n+](C(C)(C)C)c1
119,354335708,D5498,CC(C)n1cc[n+](C(C)C)c1.O=C([O-])O,CC(C)n1cc[n+](C(C)C)c1
120,354335707,D5401,Cc1cc(C)c(-n2cc[n+](-c3c(C)cc(C)cc3C)c2C(=O)[O-])c(C)c1,Cc1cc(C)c(-n2cc[n+](-c3c(C)cc(C)cc3C)c2C(=O)[O-])c(C)c1
121,354335706,B5603,CC(C)c1cccc(C(C)C)c1-n1cc[n+](-c2c(C(C)C)cccc2C(C)C)c1C(=O)[O-],CC(C)c1cccc(C(C)C)c1-n1cc[n+](-c2c(C(C)C)cccc2C(C)C)c1C(=O)[O-]
122,354335705,B5659,C[N+](C)(C)CCC[n+]1ccc(-c2cc[n+](CCC[N+](C)(C)C)cc2)cc1.[Cl-].[Cl-].[Cl-].[Cl-],C[N+](C)(C)CCC[n+]1ccc(-c2cc[n+](CCC[N+](C)(C)C)cc2)cc1
123,354335704,P2605,CC(C)=CCc1cc2c(cc1O)oc(=O)c1c3ccc(O)cc3oc21,CC(C)=CCc1cc2c(cc1O)oc(=O)c1c3ccc(O)cc3oc21
124,354335703,S0958,Oc1cccc2c1C1(CC2)CCc2cccc(O)c21,Oc1cccc2c1C1(CC2)CCc2cccc(O)c21
125,354335702,S0957,Oc1cccc2c1C1(CC2)CCc2cccc(O)c21,Oc1cccc2c1C1(CC2)CCc2cccc(O)c21
126,354335701,M3050,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN=[N+]=[N-],COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN=[N+]=[N-]
127,354335700,M2782,Cc1ccc(S(=O)(=O)N(C)SC(F)(F)F)cc1,Cc1ccc(S(=O)(=O)N(C)SC(F)(F)F)cc1
128,354335699,D5525,CC1(C)OB(c2scc3c2OCCO3)OC1(C)C,CC1(C)OB(c2scc3c2OCCO3)OC1(C)C
129,354335698,C3290,CC(CC(=O)O)C(=O)c1ccc(Cl)cc1,CC(CC(=O)O)C(=O)c1ccc(Cl)cc1
130,354335697,H1666,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(OC4OC(CO)C(O)C(OC5OC(C(=O)O)C(OC6OC(CO)C(O)C(OC7OC(C(=O)O)C(OC8OC(CO)C(O)C(OC9OC(C(=O)O)C(OC%10OC(CO)C(O)C(OC%11OC(C(=O)O)C(O)C(O)C%11O)C%10NC(C)=O)C(O)C9O)C8NC(C)=O)C(O)C7O)C6NC(C)=O)C(O)C5O)C4NC(C)=O)C(O)C3O)C2NC(C)=O)C(O)C1O,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(OC4OC(CO)C(O)C(OC5OC(C(=O)O)C(OC6OC(CO)C(O)C(OC7OC(C(=O)O)C(OC8OC(CO)C(O)C(OC9OC(C(=O)O)C(OC%10OC(CO)C(O)C(OC%11OC(C(=O)O)C(O)C(O)C%11O)C%10NC(C)=O)C(O)C9O)C8NC(C)=O)C(O)C7O)C6NC(C)=O)C(O)C5O)C4NC(C)=O)C(O)C3O)C2NC(C)=O)C(O)C1O
131,354335696,H1149,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(OC4OC(CO)C(O)C(OC5OC(C(=O)O)C(OC6OC(CO)C(O)C(OC7OC(C(=O)O)C(OC8OC(CO)C(O)C(OC9OC(C(=O)O)C(O)C(O)C9O)C8NC(C)=O)C(O)C7O)C6NC(C)=O)C(O)C5O)C4NC(C)=O)C(O)C3O)C2NC(C)=O)C(O)C1O,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(OC4OC(CO)C(O)C(OC5OC(C(=O)O)C(OC6OC(CO)C(O)C(OC7OC(C(=O)O)C(OC8OC(CO)C(O)C(OC9OC(C(=O)O)C(O)C(O)C9O)C8NC(C)=O)C(O)C7O)C6NC(C)=O)C(O)C5O)C4NC(C)=O)C(O)C3O)C2NC(C)=O)C(O)C1O
132,354335695,H1148,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(OC4OC(CO)C(O)C(OC5OC(C(=O)O)C(OC6OC(CO)C(O)C(OC7OC(C(=O)O)C(O)C(O)C7O)C6NC(C)=O)C(O)C5O)C4NC(C)=O)C(O)C3O)C2NC(C)=O)C(O)C1O,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)C(OC2OC(CO)C(O)C(OC3OC(C(=O)O)C(OC4OC(CO)C(O)C(OC5OC(C(=O)O)C(OC6OC(CO)C(O)C(OC7OC(C(=O)O)C(O)C(O)C7O)C6NC(C)=O)C(O)C5O)C4NC(C)=O)C(O)C3O)C2NC(C)=O)C(O)C1O
133,354335694,A3194,O=C(CS(=O)C(c1ccccc1)c1ccccc1)NO,O=C(CS(=O)C(c1ccccc1)c1ccccc1)NO
134,354335693,T3727,N[C@H]1CC[C@H](C(F)(F)F)CC1,N[C@H]1CC[C@H](C(F)(F)F)CC1
135,354335692,T3726,N[C@H]1CC[C@@H](C(F)(F)F)CC1,N[C@H]1CC[C@@H](C(F)(F)F)CC1
136,354335691,M2966,COC(=O)CC(=O)c1ccc(C(F)(F)F)cc1,COC(=O)CC(=O)c1ccc(C(F)(F)F)cc1
137,354335690,B5065,OB(O)c1cc(Br)ccc1F,OB(O)c1cc(Br)ccc1F
138,354335689,N1129,CC(C)=CCC[C@](C)(O[C@@H]1OC(CO)[C@@H](O)C(O)[C@@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O[C@@H]3OC[C@@H](O)C(O)[C@@H]3O)C[C@]12C,CC(C)=CCC[C@](C)(O[C@@H]1OC(CO)[C@@H](O)C(O)[C@@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O[C@@H]3OC[C@@H](O)C(O)[C@@H]3O)C[C@]12C
